lon,lat,cap,kind,name,roof_m2,n_buildings,site_m2
77.11696427500762,28.749991664164657,26987,university,Delhi Technological University,94456.19658403438,164,698044
77.13309888829235,28.75444632910993,2660,school,HPR Public School,9310.011459219151,13,30166
77.17055732101274,28.512132293935693,100,school,,349.74672967670193,1,304
77.16134333205659,28.52127343844069,2140,school,,7490.795537680953,7,19947
77.17935752393976,28.522356168343016,215167,school,,753084.289840445,3,5127
77.17459881078703,28.523421569416243,215122,school,Prince Public School,752927.3457694016,1,80
77.16627601207968,28.540538282584457,52991,university,Jawaharlal Nehru University,185469.8043730568,432,3423518
77.17342805400197,28.550994528587886,404,school,JD Tytler School,1413.4705203217675,1,761
77.1702440242921,28.55236386087642,78054,school,Sarvodaya Co-ed. Senior Secondary School,273190.490313287,1,6523
77.16895534395289,28.554279130180124,78067,school,,273235.7335380243,2,5216
77.15721915750268,28.562356657293805,2385,school,Modern School,8346.45888252241,6,38268
77.16063530776243,28.56404248516916,868,school,Delhi Public School Vasant Vihar,3036.924360932322,2,7028
77.16402972825422,28.56606470685501,1010,school,Bala Pritam Guru Harkishan International Public School,3533.3306505980527,6,10677
77.16170779691213,28.569233702980746,462,school,Tagore International School,1616.3112694446127,4,9157
77.15995471124772,28.57027280560428,1875,school,,6564.08684785711,5,24041
77.17409350345393,28.576147747564278,979,school,Auxilium Higher Secondary School,3425.274673156022,5,9898
77.16061243439526,28.577574289335395,4156,college,Ram Lal Anand College,14546.990031797286,24,92865
77.16949050690702,28.578789547165066,1421,school,,4974.226026154306,1,11662
77.16085548607731,28.579730247281898,70,university,Saramati Guest House,244.2934630604296,1,51
77.16264101354815,28.58102969240722,167,university,Administrative Block,583.3758470613417,1,443
77.16264360755277,28.581753843349603,187,university,University Grants Commission,653.8343162354968,1,440
77.172774542937,28.583049520977625,194,school,Municipal Corporation of Delhi Primary Coeducational School,679.6927767700339,2,3248
77.16224663554836,28.5823367718892,336,university,,1174.7545634654864,1,1073
77.16541465637593,28.585750470961,1465,school,Springdales School,5128.003828438817,8,25004
77.15439405608635,28.58502367357163,3241,school,The Air Force School,11343.2590534569,26,74136
77.16704499580615,28.58879095988247,2518,college,Sri Venkateswara College,8813.945886581316,26,61707
77.16911653254945,28.589195297514003,16,public,,57.68875220739983,1,53
77.16675976860448,28.590769757352223,2475,college,Atma Ram Sanatan Dharma College,8662.211706838083,13,54655
77.16512263472679,28.594218751626272,78,public,,271.28452613545437,1,271
77.16917716065116,28.600432212189535,3486,school,Army Public School,12199.44692025618,23,116306
77.1547680502524,28.649597341976623,1384,school,,4843.1944218967565,11,18466
77.16552191091496,28.653364373090096,2977,school,,10418.25526246547,38,53125
77.14939148450028,28.66316788612457,3008,college,,10527.86790010957,11,28364
77.14404519865874,28.663262167158074,1155,school,,4041.577846818055,9,12392
77.1650751169326,28.671260553743558,808,school,Jagriti School,2828.583495592613,4,3719
77.15326987126953,28.676959927339905,7019,school,,24567.5533647737,11,28024
77.15878601022142,28.682201877806808,839,school,Kendriya Vidyalaya Keshav Puram,2937.715641297478,8,34945
77.14695243011987,28.688949859078466,338,school,,1183.8838776323746,3,3364
77.15499628810318,28.689805814994276,796,school,Govt Boys Senior Secondary School,2787.2729003103937,1,829
77.14253177769325,28.69389970885222,1672,school,,5851.585719706791,5,7099
77.15262721195316,28.697599616449626,2002,college,Sri Guru Gobind Singh College of Commerce,7008.676043946983,7,41862
77.1474704809375,28.697513476782472,575,school,,2012.820170024872,3,7860
77.14455254088108,28.69788881034459,821,school,PP International School,2872.148314729087,1,7829
77.1435737,28.699239450000004,1808,school,Darbari Lal DAV Model School,6328.43256732024,3,16188
77.14653310406023,28.700258149702908,1329,school,,4651.063502194059,9,13870
77.15219371863633,28.701813017277637,332,school,,1162.9313322810476,5,8204
77.15138679800228,28.704849994865967,862,school,,3017.3429034093992,7,33040
77.1599644325637,28.705689496325338,1907,school,,6675.439556431016,7,21078
77.15716512430967,28.705598015285787,410,school,,1434.9030939037616,3,10079
77.14046213066487,28.705476799989025,164,school,,573.8219024612706,1,4452
77.15672361489622,28.708290934824493,623,school,,2178.8392262342077,3,4471
77.15700815000001,28.709857949999996,154,school,Modern Public School,539.646926558393,2,18509
77.1534608,28.710617300000003,1687,school,Jaspal Kaur Public School,5903.799429450082,8,19798
77.15617949360019,28.710936967268243,1069,school,Goodley Public School,3739.751545940635,3,9147
77.14052977969287,28.709943409734894,736,school,,2574.3754459986885,1,11096
77.14149283432499,28.720819128364713,3549,college,Vivekananda Institute of Professional Studies - Technical Campus,12420.768208117272,9,23416
77.16010576777741,28.739118677733188,9461,school,Madarasa Faiz-ul-Quran,33114.5658997997,1,86
77.15963604999999,28.743837149999997,118,school,Nav Jyoti Public School,412.03324355867,1,105
77.154100729289,28.74355658179102,139,school,Gyan Sarovar School,484.9760242884786,1,936
77.15589328444463,28.74738503654873,257,school,Devraji Narayan Public School,900.7889096658557,3,1151
77.15167274953494,28.75234709271292,896,school,Silver Oak Public School,3137.0792446273826,3,1082
77.14234110025082,28.7750558568112,17,school,Mata Sukhdevi Public School,59.23386911092849,1,3986
77.14180234334025,28.794402617054565,138,college,Swami Shraddhanand College,482.25852488258005,3,38397
77.19609067995306,28.500790579695504,342,community_centre,Bhim Rao Ambedkar Bhawan,1196.2778117496523,3,375
77.18420207205486,28.537074321261063,2055,college,Karmapa International Buddhist Institute,7191.306591454471,5,6267
77.18568458567627,28.539217514773814,2800,university,"Indian Statistical Institute, Delhi",9800.210630851834,17,62937
77.18227399576774,28.540619890827475,3151,college,,11029.379298606174,21,43794
77.18972955034,28.544697389979113,104348,university,Indian Institute of Technology Delhi,365217.4521658955,367,1248399
77.17931044291106,28.558646426683197,2352,school,"Sri Ram School, RK Puram",8231.330720671553,2,15726
77.17794874266212,28.5610862086573,863,school,"Kendriya Vidyalaya, RK Puram Sector-4",3021.5978855176404,5,3585
77.18616603656935,28.562424118372757,1166,school,"Kendriya Vidyalaya, RK Puram, Sector-2",4080.166631147908,3,19860
77.18555587184504,28.563360172049514,330,community_centre,Sri Kanchi Kamakoti Peetam Cultural Centre,1155.4879166431328,1,913
77.19085667857456,28.564008371954106,13396,school,Saint Mary's School,46884.55937028786,6,6023
77.18664149815073,28.564772217959778,15488,community_centre,Mohammadpur Community Center,54207.65812402378,2,900
77.18454112425495,28.564793395145973,237,school,,830.061108602302,1,681
77.17735408147617,28.57177744857559,7654,school,,26790.28149082494,27,48948
77.18501879164937,28.583699628843384,709,public,,2480.644671708857,2,2833
77.17745679217425,28.583312067874367,219,school,Government Boys Senior Secondary School,766.0402010058892,2,1037
77.17674704235795,28.583298843312196,263,school,Sarvodya Kanvya Vidyalaya - Moti Bagh 1,920.568269658738,1,1020
77.17703368729549,28.588870763384786,3074,school,Sanskriti School,10757.631488891675,19,34481
77.17728308878073,28.59212451532691,2029,college,Maitreyi College,7100.529220432692,16,46417
77.17848758771702,28.594431978746936,2052,college,Jesus and Mary College,7180.762147775793,5,57263
77.17710009903851,28.595734639112383,431,school,SS School,1509.6506971323718,1,2110
77.17906418119264,28.596138789530077,828,college,Kathak Kendra,2899.716545863768,1,532
77.1802788687796,28.597489761049623,2018,school,The British School,7061.567879682305,1,27417
77.18233009227583,28.59900618295049,4591,school,American Embassy School,16067.976571189862,26,56688
77.18397654777145,28.63322543975606,1872,school,Manav Sthali School,6551.548878760805,18,26631
77.17658418134087,28.64188283007848,141,university,Raffles Millennium International,493.38340579033644,1,748
77.17417772349847,28.64251020965498,243,school,Vivek Summit School,849.3177525783223,3,620
77.18138967320051,28.647866710354258,708,school,,2477.162171932618,6,5685
77.17843308823382,28.649272573449643,2072,college,Kalindi College,7251.761090792449,19,34242
77.17120459755304,28.682232581016986,1745,school,Maharaja Agarsen Public School,6108.656742514666,2,15204
77.16994012418243,28.682881026972304,1082,school,Sarvodaya Kanya Vidyalaya and Government School,3786.2725178410556,5,16077
